number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--hidden_act,params_--learning_rate,params_--n_head,params_--n_layer,params_--per_device_train_batch_size,system_attrs_fail_reason,state
42,0.2180566587359571,2020-09-11 22:42:53.046201,2020-09-12 00:09:36.093932,0 days 01:26:43.047731000,128.0,0.3,swish,0.0016180942180360671,2.0,2.0,128.0,,COMPLETE
43,0.12101062067716016,2020-09-11 22:53:13.499028,2020-09-12 00:14:27.051419,0 days 01:21:13.552391000,128.0,0.3,swish,0.0058587152792548445,2.0,2.0,128.0,,COMPLETE
44,0.21667201367545294,2020-09-11 23:04:45.471581,2020-09-12 00:30:02.204705,0 days 01:25:16.733124000,128.0,0.3,swish,0.00162044367885038,2.0,2.0,128.0,,COMPLETE
45,0.23630336006108282,2020-09-11 23:54:51.039467,2020-09-12 01:23:32.866467,0 days 01:28:41.827000000,128.0,0.3,relu,0.001706843683310124,2.0,2.0,128.0,,COMPLETE
46,0.2696027006467295,2020-09-11 23:55:03.080167,2020-09-12 01:15:15.751430,0 days 01:20:12.671263000,128.0,0.3,relu,0.001610023706141771,2.0,1.0,128.0,,COMPLETE
47,0.26788162262448617,2020-09-12 00:09:36.142572,2020-09-12 01:34:21.207214,0 days 01:24:45.064642000,128.0,0.3,relu,0.001574123314537984,2.0,1.0,128.0,,COMPLETE
48,0.26564789969066527,2020-09-12 00:14:27.094638,2020-09-12 01:34:11.900933,0 days 01:19:44.806295000,128.0,0.3,relu,0.0015048364666703736,2.0,1.0,128.0,,COMPLETE
49,0.2601993929978831,2020-09-12 00:30:02.239363,2020-09-12 01:55:27.555551,0 days 01:25:25.316188000,128.0,0.0,relu,0.0035274684322971436,2.0,1.0,128.0,,COMPLETE
50,0.27697290067105523,2020-09-12 01:15:15.791347,2020-09-12 03:07:33.275972,0 days 01:52:17.484625000,128.0,0.3,relu,0.0033167847299135685,2.0,1.0,64.0,,COMPLETE
51,0.2836947769457712,2020-09-12 01:23:32.900704,2020-09-12 03:16:22.726313,0 days 01:52:49.825609000,128.0,0.3,relu,0.0035921328486304637,1.0,1.0,64.0,,COMPLETE
52,0.2588344876042582,2020-09-12 01:34:11.937043,2020-09-12 03:27:19.463926,0 days 01:53:07.526883000,128.0,0.3,gelu,0.00300345514922769,1.0,1.0,64.0,,COMPLETE
53,0.2621560144152799,2020-09-12 01:34:21.243472,2020-09-12 03:19:36.714526,0 days 01:45:15.471054000,128.0,0.3,gelu,0.0034916664706013826,2.0,1.0,64.0,,COMPLETE
54,0.16002139054398987,2020-09-12 01:55:27.605580,2020-09-12 03:56:59.700386,0 days 02:01:32.094806000,128.0,0.3,gelu,0.003334152988584747,2.0,3.0,64.0,,COMPLETE
55,0.2691153083730504,2020-09-12 03:07:33.325871,2020-09-12 05:01:51.141418,0 days 01:54:17.815547000,128.0,0.3,gelu,0.003523539431386749,1.0,1.0,64.0,,COMPLETE
56,0.3128285709435052,2020-09-12 03:16:22.761605,2020-09-12 05:09:39.153133,0 days 01:53:16.391528000,128.0,0.3,gelu,0.001777318025738878,1.0,1.0,64.0,,COMPLETE
57,0.20010354664914898,2020-09-12 03:19:36.754512,2020-09-12 05:04:21.989802,0 days 01:44:45.235290000,128.0,0.3,relu,0.005432682894038446,1.0,1.0,64.0,,COMPLETE
58,0.033740771336098235,2020-09-12 03:27:19.508393,2020-09-12 05:25:50.107009,0 days 01:58:30.598616000,128.0,0.3,relu,0.08538031600803021,1.0,3.0,64.0,,COMPLETE
59,0.1550468399759602,2020-09-12 03:56:59.736150,2020-09-12 05:54:41.878120,0 days 01:57:42.141970000,128.0,0.3,relu,0.0058720784859268476,1.0,1.0,64.0,,COMPLETE
60,0.1267743689661765,2020-09-12 05:01:51.201157,2020-09-12 06:42:15.471081,0 days 01:40:24.269924000,32.0,0.3,gelu,0.006262376678118331,1.0,1.0,64.0,,COMPLETE
61,0.12025295451205666,2020-09-12 05:04:22.033588,2020-09-12 06:37:45.645336,0 days 01:33:23.611748000,32.0,0.3,gelu,0.013790949048625217,1.0,1.0,64.0,,COMPLETE
62,0.17124205141187096,2020-09-12 05:09:39.192455,2020-09-12 06:52:00.304242,0 days 01:42:21.111787000,32.0,0.3,gelu,0.005904722797736783,1.0,1.0,64.0,,COMPLETE
63,0.12629902407346108,2020-09-12 05:25:50.141085,2020-09-12 07:05:43.805611,0 days 01:39:53.664526000,32.0,0.3,gelu,0.007190838400630845,1.0,1.0,64.0,,COMPLETE
64,0.1256010633084577,2020-09-12 05:54:41.912046,2020-09-12 07:37:59.735666,0 days 01:43:17.823620000,32.0,0.3,gelu,0.012235364270297502,1.0,1.0,64.0,,COMPLETE
65,0.3107305575701887,2020-09-12 06:37:45.683823,2020-09-12 08:27:53.680548,0 days 01:50:07.996725000,128.0,0.3,gelu,0.0019572135259585044,1.0,1.0,64.0,,COMPLETE
66,0.3135119397935556,2020-09-12 06:42:15.503964,2020-09-12 08:33:34.026211,0 days 01:51:18.522247000,128.0,0.3,gelu,0.001954948730877994,1.0,1.0,64.0,,COMPLETE
67,0.25104918426997125,2020-09-12 06:52:00.343595,2020-09-12 08:52:45.536438,0 days 02:00:45.192843000,128.0,0.3,gelu,0.0041987515165593315,1.0,1.0,64.0,,COMPLETE
68,0.31116593765312056,2020-09-12 07:05:43.859193,2020-09-12 08:56:58.519478,0 days 01:51:14.660285000,128.0,0.3,gelu,0.0019571751592481505,1.0,1.0,64.0,,COMPLETE
69,0.3044028157382458,2020-09-12 07:37:59.769969,2020-09-12 09:35:27.288185,0 days 01:57:27.518216000,128.0,0.3,gelu,0.0018605215008378694,16.0,1.0,64.0,,COMPLETE
70,0.3145435266504856,2020-09-12 08:27:53.712404,2020-09-12 10:22:22.811304,0 days 01:54:29.098900000,128.0,0.3,gelu,0.0019443934466002557,1.0,1.0,64.0,,COMPLETE
71,0.30447418151406025,2020-09-12 08:33:34.068712,2020-09-12 10:21:54.326256,0 days 01:48:20.257544000,128.0,0.3,gelu,0.0020318910063596455,1.0,1.0,64.0,,COMPLETE
72,,2020-09-12 08:52:45.584001,2020-09-12 08:53:10.082844,0 days 00:00:24.498843000,128.0,0.3,gelu,0.0019930471303252423,16.0,1.0,64.0,Trial 72 failed because of the following error: KeyError(<autobench.core.job.Job object at 0x7f523e3d7210>),FAIL
73,,2020-09-12 08:53:10.100162,,,,,,,,,,,RUNNING
74,,2020-09-12 08:56:58.557976,,,,,,,,,,,RUNNING
75,,2020-09-12 09:35:27.323381,,,,,,,,,,,RUNNING
76,,2020-09-12 10:21:54.375092,,,,,,,,,,,RUNNING
77,,2020-09-12 10:22:22.874206,,,,,,,,,,,RUNNING
78,0.30847218806995247,2020-09-15 08:45:00.899543,2020-09-15 10:55:24.171050,0 days 02:10:23.271507000,128.0,0.3,gelu,0.001932725773845903,16.0,1.0,64.0,,COMPLETE
79,0.30160634663060343,2020-09-15 08:45:00.929314,2020-09-15 10:39:50.381174,0 days 01:54:49.451860000,128.0,0.3,gelu,0.001993867051117867,16.0,1.0,64.0,,COMPLETE
80,0.30036411476775665,2020-09-15 08:45:00.957755,2020-09-15 10:42:02.878412,0 days 01:57:01.920657000,128.0,0.3,gelu,0.0019676951421020786,16.0,1.0,64.0,,COMPLETE
81,0.30344933953367803,2020-09-15 08:45:00.960081,2020-09-15 10:46:13.481774,0 days 02:01:12.521693000,128.0,0.3,gelu,0.0019741030117298407,16.0,1.0,64.0,,COMPLETE
