number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
58,,2020-09-27 08:03:39.470500,2020-09-27 13:40:09.562911,0 days 05:36:30.092411000,128.0,0.1,0.0006606353444424354,linear_with_warmup,1.0,5.0,64.0,2.3329170061581143e-05,"Trial 58 failed because of the following error: UnboundLocalError(""local variable 'parser' referenced before assignment"")",FAIL
59,,2020-09-27 12:03:25.845385,2020-09-27 13:40:06.016579,0 days 01:36:40.171194000,128.0,0.1,0.005752309582366931,linear_with_warmup,1.0,5.0,64.0,2.330811601318439e-05,"Trial 59 failed because of the following error: UnboundLocalError(""local variable 'parser' referenced before assignment"")",FAIL
60,,2020-09-27 12:14:24.199686,2020-09-27 13:40:06.005110,0 days 01:25:41.805424000,128.0,0.1,0.0020677555290904317,linear_with_warmup,1.0,5.0,64.0,2.3426857926695495e-05,"Trial 60 failed because of the following error: UnboundLocalError(""local variable 'parser' referenced before assignment"")",FAIL
61,,2020-09-27 12:30:24.360033,,,,,,,,,,,,RUNNING
62,,2020-09-27 12:48:54.866409,2020-09-27 13:40:06.026771,0 days 00:51:11.160362000,128.0,0.1,0.003633447261291504,linear_with_warmup,1.0,5.0,64.0,3.524573140286806e-05,"Trial 62 failed because of the following error: UnboundLocalError(""local variable 'parser' referenced before assignment"")",FAIL
63,,2020-09-27 13:40:06.045643,,,,,,,,,,,,RUNNING
64,,2020-09-27 13:40:06.056662,,,,,,,,,,,,RUNNING
65,,2020-09-27 13:40:06.080563,,,,,,,,,,,,RUNNING
66,,2020-09-27 13:40:09.627909,,,,,,,,,,,,RUNNING
67,,2020-09-27 15:41:08.737905,2020-09-28 02:59:49.515633,0 days 11:18:40.777728000,128.0,0.1,0.0013879421577590915,linear_with_warmup,1.0,5.0,64.0,3.5886344166229995e-05,"Trial 67 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
68,,2020-09-27 15:41:08.776782,2020-09-28 02:54:19.503982,0 days 11:13:10.727200000,128.0,0.1,0.003470985163275523,linear_with_warmup,1.0,5.0,64.0,3.383849324076355e-05,"Trial 68 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
69,0.2867569195879808,2020-09-27 15:41:08.797145,2020-09-28 04:25:47.871736,0 days 12:44:39.074591000,128.0,0.1,0.0014178613260021576,linear_with_warmup,1.0,5.0,64.0,3.626894375138902e-05,,COMPLETE
70,0.30237907480935455,2020-09-27 15:41:08.827117,2020-09-28 04:17:00.510167,0 days 12:35:51.683050000,128.0,0.1,0.0020865902712531225,linear_with_warmup,1.0,5.0,64.0,3.468455444337233e-05,,COMPLETE
71,0.30050852042305726,2020-09-27 15:41:08.832711,2020-09-28 03:54:13.051487,0 days 12:13:04.218776000,128.0,0.1,0.0037792291329153908,linear_with_warmup,1.0,5.0,64.0,3.914876601212752e-05,,COMPLETE
72,,2020-09-28 02:54:19.557617,2020-09-28 08:47:43.609114,0 days 05:53:24.051497000,128.0,0.1,0.0036129657223789575,linear_with_warmup,1.0,5.0,64.0,3.538589868682481e-05,"Trial 72 failed because of the following error: UnboundLocalError(""local variable 'parser' referenced before assignment"")",FAIL
73,,2020-09-28 02:59:49.530441,,,128.0,0.1,0.0015456347608126956,linear_with_warmup,1.0,5.0,64.0,3.540529658790237e-05,"Trial 73 failed because of the following error: UnboundLocalError(""local variable 'parser' referenced before assignment"")",RUNNING
74,,2020-09-28 03:54:13.149586,,,,,,,,,,,,RUNNING
75,,2020-09-28 04:17:00.551830,,,128.0,0.1,0.003993023804997474,linear_with_warmup,1.0,5.0,64.0,3.3708499761736995e-05,"Trial 75 failed because of the following error: UnboundLocalError(""local variable 'parser' referenced before assignment"")",RUNNING
76,,2020-09-28 04:25:47.905964,2020-09-28 08:47:43.771814,0 days 04:21:55.865850000,128.0,0.1,0.0035962844412249454,linear_with_warmup,1.0,5.0,64.0,3.3755771155581176e-05,"Trial 76 failed because of the following error: UnboundLocalError(""local variable 'parser' referenced before assignment"")",FAIL
77,0.3070369492342787,2020-09-28 09:16:23.111483,2020-09-29 02:18:17.744763,0 days 17:01:54.633280000,128.0,0.1,0.0039688403793215555,linear_with_warmup,1.0,5.0,64.0,2.1278248124836783e-05,,COMPLETE
78,0.2985063309958485,2020-09-28 09:16:23.133944,2020-09-29 02:06:54.836431,0 days 16:50:31.702487000,128.0,0.1,0.0036055943386889256,linear_with_warmup,1.0,5.0,64.0,3.3828225790096766e-05,,COMPLETE
79,0.30559847018073816,2020-09-28 09:16:23.158827,2020-09-29 02:31:06.937354,0 days 17:14:43.778527000,128.0,0.1,0.004086666987859947,linear_with_warmup,1.0,5.0,64.0,3.463633120287673e-05,,COMPLETE
80,0.3102709585536119,2020-09-28 09:16:23.179334,2020-09-29 01:59:20.994782,0 days 16:42:57.815448000,128.0,0.1,0.003703400383132041,linear_with_warmup,1.0,5.0,64.0,3.429330505787207e-05,,COMPLETE
81,0.2952604040417155,2020-09-28 09:16:23.201072,2020-09-29 00:41:48.899959,0 days 15:25:25.698887000,128.0,0.1,0.004738758832593967,linear_with_warmup,1.0,5.0,64.0,3.5500703778814606e-05,,COMPLETE
82,,2020-09-29 00:41:49.124828,,,,,,,,,,,,RUNNING
83,,2020-09-29 02:18:17.786235,,,,,,,,,,,,RUNNING
84,,2020-09-29 08:13:06.902013,,,,,,,,5.0,64.0,,,RUNNING
85,,2020-09-29 08:13:06.929315,,,,,,,,,,,,RUNNING
