number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_head,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
132,,2020-10-07 08:36:49.956444,2020-10-07 08:37:33.916863,0 days 00:00:43.960419000,256.0,0.1,0.0002315619043251857,linear_with_warmup,8.0,3.0,8.0,128.0,2.4569622431627674e-06,"Trial 132 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
133,,2020-10-07 08:37:10.727835,2020-10-07 08:37:52.179813,0 days 00:00:41.451978000,320.0,0.1,0.00023707882139203425,linear_with_warmup,8.0,3.0,8.0,128.0,2.187841354201341e-06,"Trial 133 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
134,,2020-10-07 08:37:34.072492,2020-10-07 08:38:22.747660,0 days 00:00:48.675168000,256.0,0.1,0.00023170253627110098,linear_with_warmup,8.0,3.0,8.0,128.0,2.3734231061822508e-06,"Trial 134 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
135,,2020-10-07 08:37:52.330799,,,,,,,,,,,,,RUNNING
136,,2020-10-07 08:38:23.117027,2020-10-07 08:38:51.948072,0 days 00:00:28.831045000,256.0,0.1,0.00024316975646626818,linear_with_warmup,8.0,3.0,8.0,128.0,2.119162603394867e-06,"Trial 136 failed because of the following error: KeyError(<autobench.core.job.Job object at 0x7ff54780cb70>,)",FAIL
137,,2020-10-07 08:38:52.856302,2020-10-07 08:59:33.436071,0 days 00:20:40.579769000,256.0,0.1,0.00023502679044340642,linear_with_warmup,8.0,3.0,8.0,128.0,2.3957371139830135e-06,"Trial 137 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
138,,2020-10-07 08:59:33.682157,2020-10-07 09:00:17.964601,0 days 00:00:44.282444000,256.0,0.1,0.00022374457018517049,linear_with_warmup,1.0,3.0,8.0,128.0,2.145709045530676e-06,"Trial 138 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
139,,2020-10-07 09:00:18.108010,2020-10-07 09:02:43.426669,0 days 00:02:25.318659000,256.0,0.1,0.00024347556987228548,linear_with_warmup,8.0,3.0,8.0,128.0,2.469874611784832e-06,"Trial 139 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
140,,2020-10-07 09:02:43.568743,2020-10-07 09:03:25.689111,0 days 00:00:42.120368000,256.0,0.1,0.00023676941888773316,linear_with_warmup,8.0,3.0,8.0,128.0,2.4418872834870867e-06,"Trial 140 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
141,,2020-10-07 09:03:25.956694,2020-10-07 09:03:59.717740,0 days 00:00:33.761046000,256.0,0.1,0.00022395068268413705,linear_with_warmup,8.0,3.0,8.0,128.0,2.316784239524677e-06,"Trial 141 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
