number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--n_layer,params_--per_device_train_batch_size,system_attrs_fail_reason,state
50,0.30549409653664006,2020-09-14 16:29:15.048277,2020-09-14 18:03:16.623864,0 days 01:34:01.575587000,64,0.1,0.014785032974324737,1,64,,COMPLETE
51,0.30403235584866733,2020-09-14 16:37:19.862206,2020-09-14 18:24:37.745621,0 days 01:47:17.883415000,64,0.1,0.014315942948848135,1,64,,COMPLETE
52,0.30160600477380844,2020-09-14 16:54:51.342937,2020-09-14 18:30:28.430148,0 days 01:35:37.087211000,64,0.2,0.015324337697434751,1,64,,COMPLETE
53,0.2711825804015591,2020-09-14 16:57:00.137229,2020-09-14 18:37:20.046233,0 days 01:40:19.909004000,64,0.0,0.01771237109424924,1,64,,COMPLETE
54,0.30962117604976835,2020-09-14 17:09:30.967216,2020-09-14 18:49:48.703211,0 days 01:40:17.735995000,64,0.0,0.011804455282077107,1,64,,COMPLETE
55,0.1730714604275691,2020-09-14 18:03:16.751192,2020-09-14 19:22:10.532463,0 days 01:18:53.781271000,64,0.0,0.04344474556009117,1,128,,COMPLETE
56,,2020-09-14 18:24:37.778868,2020-09-14 18:27:17.601995,0 days 00:02:39.823127000,64,0.0,0.018860284275520924,1,64,"Trial 56 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
57,0.2732026120494496,2020-09-14 18:27:17.613316,2020-09-14 20:15:49.265492,0 days 01:48:31.652176000,64,0.0,0.01952085945413642,1,64,,COMPLETE
58,0.2651908624779746,2020-09-14 18:30:28.457223,2020-09-14 20:08:35.825408,0 days 01:38:07.368185000,64,0.0,0.0214258079422509,1,64,,COMPLETE
59,0.31498876783240026,2020-09-14 18:37:20.083024,2020-09-14 20:16:07.029602,0 days 01:38:46.946578000,64,0.0,0.01116807646493081,1,64,,COMPLETE
60,0.25531834836588146,2020-09-14 18:49:48.741247,2020-09-14 20:04:47.609029,0 days 01:14:58.867782000,64,0.0,0.011500017381983026,1,128,,COMPLETE
61,0.31878534901139827,2020-09-14 19:22:10.578782,2020-09-14 21:00:59.170075,0 days 01:38:48.591293000,64,0.0,0.01113832184072968,1,64,,COMPLETE
